graph_name,red_endpoints_l2_05,blue_endpoints_l2_05,red_staircases_l2_05,blue_staircases_l2_05,total_staircases_l2_05,red_staircases_l2_0,blue_staircases_l2_0,total_staircases_l2_0,number_of_nodes,number_of_edges,total_red_nodes,total_blue_nodes,avg_degree,max_degree,density
partitioned_grafo10202.92,0,0,0,0,0,0,0,0,92,131,4,88,2.8478,6,0.0313
partitioned_grafo10203.97,0,0,0,0,0,0,0,0,97,141,16,81,2.9072,9,0.0303
partitioned_grafo10204.100,0,0,0,0,0,0,0,0,100,148,14,86,2.96,10,0.0299
partitioned_grafo10205.97,0,0,0,0,0,0,0,0,97,141,54,43,2.9072,9,0.0303
partitioned_grafo10206.97,0,0,0,0,0,0,0,0,97,128,5,92,2.6392,8,0.0275
partitioned_grafo10207.98,0,0,0,0,0,0,0,0,98,137,54,44,2.7959,7,0.0288
partitioned_grafo10208.98,0,0,0,0,0,0,0,0,98,131,36,62,2.6735,8,0.0276
partitioned_grafo10209.99,0,0,0,0,0,0,0,0,99,145,40,59,2.9293,8,0.0299
partitioned_grafo1021.14,17,13,3,2,5,3,2,5,14,14,8,6,2,5,0.1538
partitioned_grafo10210.92,0,0,0,0,0,0,0,0,92,118,40,52,2.5652,9,0.0282
partitioned_grafo10211.92,0,0,0,0,0,0,0,0,92,119,17,75,2.587,9,0.0284
partitioned_grafo10212.97,0,0,0,0,0,0,0,0,97,126,15,82,2.5979,7,0.0271
partitioned_grafo10213.99,0,0,0,0,0,0,0,0,99,132,83,16,2.6667,8,0.0272
partitioned_grafo10214.94,0,0,0,0,0,0,0,0,94,125,20,74,2.6596,12,0.0286
partitioned_grafo10215.93,0,0,0,0,0,0,0,0,93,142,23,70,3.0538,9,0.0332
partitioned_grafo10216.97,0,0,0,0,0,0,0,0,97,128,25,72,2.6392,8,0.0275
partitioned_grafo10217.99,0,0,0,0,0,0,0,0,99,133,4,95,2.6869,7,0.0274
partitioned_grafo10218.99,0,0,0,0,0,0,0,0,99,142,5,94,2.8687,8,0.0293
partitioned_grafo10219.99,0,0,0,0,0,0,0,0,99,128,18,81,2.5859,6,0.0264
partitioned_grafo1022.17,7,11,1,2,3,1,4,5,17,18,4,13,2.1176,3,0.1324
partitioned_grafo10220.97,0,0,0,0,0,0,0,0,97,137,4,93,2.8247,10,0.0294
partitioned_grafo10221.95,0,0,0,0,0,0,0,0,95,128,80,15,2.6947,8,0.0287
partitioned_grafo10222.99,0,0,0,0,0,0,0,0,99,128,31,68,2.5859,6,0.0264
partitioned_grafo10223.100,0,0,0,0,0,0,0,0,100,135,7,93,2.7,9,0.0273
partitioned_grafo10224.95,0,0,0,0,0,0,0,0,95,133,5,90,2.8,7,0.0298
partitioned_grafo10225.99,0,0,0,0,0,0,0,0,99,133,18,81,2.6869,8,0.0274
partitioned_grafo10226.97,0,0,0,0,0,0,0,0,97,123,6,91,2.5361,9,0.0264
partitioned_grafo10227.96,0,0,0,0,0,0,0,0,96,128,9,87,2.6667,8,0.0281
partitioned_grafo10228.95,0,0,0,0,0,0,0,0,95,132,85,10,2.7789,8,0.0296
partitioned_grafo10229.36,36,36,6,6,12,9,3,12,36,46,19,17,2.5556,6,0.073
partitioned_grafo1023.11,7,11,1,2,3,1,3,4,11,11,5,6,2,4,0.2
partitioned_grafo10230.37,0,0,0,0,0,0,0,0,37,48,20,17,2.5946,8,0.0721
partitioned_grafo10231.32,14,16,2,3,5,2,8,10,32,35,7,25,2.1875,4,0.0706
partitioned_grafo10232.37,5,7,1,1,2,1,6,7,37,49,4,33,2.6486,5,0.0736
partitioned_grafo10233.34,32,34,5,6,11,5,7,12,34,39,22,12,2.2941,6,0.0695
partitioned_grafo10234.39,30,12,5,2,7,9,2,11,39,51,21,18,2.6154,7,0.0688
partitioned_grafo10235.39,39,39,6,7,13,0,0,0,39,53,18,21,2.7179,6,0.0715
partitioned_grafo10236.95,0,0,0,0,0,0,0,0,95,119,38,57,2.5053,8,0.0267
partitioned_grafo10237.100,0,0,0,0,0,0,0,0,100,141,13,87,2.82,7,0.0285
